Mg,Al,Si,S,K,Ca,Fe,C,O,labels,x,y
0.0,0.0,0.005050505050505051,0.0078125,0.0,0.0,0.007042253521126761,0.29268292682926833,0.009316770186335404,1.0,66,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.29268292682926833,0.009316770186335404,1.0,67,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.3170731707317073,0.012422360248447204,1.0,68,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.3048780487804878,0.012422360248447204,1.0,69,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.0,0.007042253521126761,0.3048780487804878,0.009316770186335404,1.0,70,0
0.0,0.0,0.005050505050505051,0.0078125,0.125,0.0,0.007042253521126761,0.3048780487804878,0.009316770186335404,1.0,71,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.02702702702702703,0.007042253521126761,0.36585365853658536,0.009316770186335404,1.0,72,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.02702702702702703,0.0,0.36585365853658536,0.018633540372670808,1.0,73,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.25609756097560976,0.012422360248447204,1.0,0,1
0.0,0.020833333333333332,0.005050505050505051,0.0078125,0.125,0.02702702702702703,0.014084507042253521,0.34146341463414637,0.012422360248447204,1.0,1,1
0.0,0.0,0.005050505050505051,0.0078125,0.125,0.02702702702702703,0.007042253521126761,0.34146341463414637,0.012422360248447204,1.0,2,1
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.34146341463414637,0.012422360248447204,1.0,3,1
0.00684931506849315,0.0,0.010101010101010102,0.0,0.125,0.0,0.007042253521126761,0.34146341463414637,0.015527950310559004,1.0,4,1
0.00684931506849315,0.0,0.015151515151515152,0.0,0.125,0.02702702702702703,0.014084507042253521,0.3536585365853659,0.018633540372670808,1.0,5,1
0.00684931506849315,0.0,0.020202020202020204,0.015625,0.25,0.0,0.014084507042253521,0.41463414634146345,0.024844720496894408,1.0,6,1
0.00684931506849315,0.0,0.020202020202020204,0.0078125,0.0,0.0,0.014084507042253521,0.43902439024390244,0.024844720496894408,1.0,7,1
0.0,0.020833333333333332,0.020202020202020204,0.0078125,0.0,0.0,0.02112676056338028,0.43902439024390244,0.024844720496894408,1.0,8,1
0.0,0.020833333333333332,0.015151515151515152,0.0078125,0.125,0.02702702702702703,0.02112676056338028,0.43902439024390244,0.021739130434782608,1.0,9,1
0.00684931506849315,0.020833333333333332,0.020202020202020204,0.015625,0.25,0.0,0.02112676056338028,0.5487804878048781,0.03105590062111801,1.0,10,1
0.0136986301369863,0.020833333333333332,0.020202020202020204,0.015625,0.25,0.02702702702702703,0.028169014084507043,0.6707317073170732,0.040372670807453416,1.0,11,1
0.0136986301369863,0.041666666666666664,0.020202020202020204,0.03125,0.25,0.02702702702702703,0.028169014084507043,0.7560975609756098,0.05900621118012422,1.0,12,1
0.0136986301369863,0.041666666666666664,0.025252525252525256,0.03125,0.25,0.08108108108108109,0.035211267605633804,0.7560975609756098,0.07763975155279502,1.0,13,1
0.0136986301369863,0.041666666666666664,0.03535353535353536,0.0234375,0.25,0.10810810810810811,0.035211267605633804,0.8170731707317074,0.08074534161490683,1.0,14,1
0.0136986301369863,0.041666666666666664,0.04040404040404041,0.0234375,0.375,0.10810810810810811,0.04225352112676056,0.8170731707317074,0.08385093167701863,1.0,15,1
0.0136986301369863,0.0625,0.025252525252525256,0.0078125,0.375,0.05405405405405406,0.04225352112676056,0.8170731707317074,0.09006211180124223,1.0,16,1
0.0136986301369863,0.0625,0.020202020202020204,0.0078125,0.5,0.05405405405405406,0.035211267605633804,0.8536585365853658,0.09006211180124223,1.0,17,1
0.0136986301369863,0.041666666666666664,0.020202020202020204,0.0234375,0.375,0.05405405405405406,0.04225352112676056,0.8536585365853658,0.09316770186335403,1.0,18,1
0.0136986301369863,0.0625,0.015151515151515152,0.0234375,0.25,0.05405405405405406,0.04225352112676056,0.8658536585365854,0.09627329192546583,1.0,19,1
0.0136986301369863,0.041666666666666664,0.015151515151515152,0.0234375,0.25,0.10810810810810811,0.04225352112676056,0.8658536585365854,0.09316770186335403,1.0,20,1
0.0136986301369863,0.0625,0.030303030303030304,0.0234375,0.5,0.10810810810810811,0.04929577464788733,0.7317073170731707,0.09316770186335403,1.0,21,1
0.0136986301369863,0.125,0.07070707070707072,0.0390625,0.5,0.10810810810810811,0.07746478873239437,0.45121951219512196,0.13354037267080746,1.0,22,1
0.0136986301369863,0.4375,0.18686868686868688,0.0390625,0.625,0.10810810810810811,0.11971830985915494,0.34146341463414637,0.23602484472049687,1.0,23,1
0.06164383561643835,0.4375,0.2272727272727273,0.0234375,0.625,0.10810810810810811,0.07746478873239437,0.24390243902439024,0.23602484472049687,1.0,24,1
0.0821917808219178,0.3333333333333333,0.2272727272727273,0.0234375,0.5,0.10810810810810811,0.056338028169014086,0.21951219512195122,0.19254658385093165,1.0,25,1
